Allele,D3S1358,vWA,Penta D,CSF1PO,D16S539,D7S820,D13S317,D5S818,Penta E,D18S51,D21S11,D8S1179,TPOX,FGA,TH01
2.2,,,0.0057,,,,,,,,,,,,
5,,,0.0029,,,,,,0.0286,,,,,,0.0029
6,,,,,,,,,,,,,0.0042,,0.3843
7,,,0.0042,0.0042,,0.0042,,0.0614,0.0743,,,,0.0014,,0.2729
8,,,0.0172,0.0057,0.0143,0.0858,0.0586,0.0042,0.0271,,,0.0042,0.4686,,0.0514
9,,,0.1758,0.0229,0.1214,0.0643,0.2286,0.0529,0.0100,,,0.0071,0.0500,,0.1000
9.3,,,,,,,,,,,,,,,0.1856
10,,,0.2586,0.2114,0.1986,0.2386,0.1314,0.0643,0.0257,0.0071,,0.071,0.0545,,0.0029
10.3,,,,,,0.0114,,,,,,,,,
11,,0.0014,0.1329,0.3129,0.2600,0.3043,0.1714,0.4858,0.0643,0.0157,,0.0543,0.2414,,
12,,,0.1700,0.3629,0.3229,0.2386,0.2429,0.2458,0.1886,0.0771,,0.1100,0.1714,,
12.3,,,,,,,,,,0.0014,,,,,
13,0.0042,0.0042,0.1714,0.0700,0.0657,0.0457,0.1015,0.0814,0.1014,0.1243,,0.3471,0.0057,,
13.2,,,,,,,,,,0.0014,,,,,
14,0.0543,0.0758,0.0543,0.0086,0.0157,0.0071,0.061,0.0042,0.0629,0.1600,,0.2329,0.0014,,
15,0.4543,0.0771,0.0071,0.0014,0.0014,,0.0042,,0.1129,0.1372,,0.1343,0.0014,0.0014,
16,0.2686,0.3758,,,,,,,0.1000,0.1100,,0.0272,,,
17,0.1357,0.2629,,,,,,,0.0614,0.1958,,0.0086,,,
18,0.0800,0.1543,,,,,,,0.0471,0.0729,,,,0.0029,
18.2,,,,,,,,,,,,,,0.0014,
19,0.0029,0.0414,,,,,,,0.0300,0.0586,,,,0.0543,
20,,0.0029,,,,,,,0.0243,0.0214,,,,0.0771,
21,,0.0042,,,,,,,0.0171,0.0057,,,,0.1029,
22,,,,,,,,,0.0157,0.0057,,,,0.0986,
22.2,,,,,,,,,,,,,,0.0029,
23,,,,,,,,,0.0029,0.0029,,,,0.1343,
23.2,,,,,,,,,,,,,,0.0042,
24,,,,,,,,,0.0057,0.0014,0.0014,,,0.1614,
24.2,,,,,,,,,,,0.0014,,,,
25,,,,,,,,,,,,,,0.1843,
25.3,,,,,,,,,,,,,,0.0014,
26,,,,,,,,,,0.0014,,,,0.1357,
27,,,,,,,,,,,0.0057,,,0.0343,
27.2,,,,,,,,,,,0.0014,,,,
28,,,,,,,,,,,0.0686,,,,
29,,,,,,,,,,,0.2358,,,0.0029,
29.2,,,,,,,,,,,0.0014,,,,
30,,,,,,,,,,,0.2657,,,,
30.2,,,,,,,,,,,0.0214,,,,
31,,,,,,,,,,,0.0700,,,,
31.2,,,,,,,,,,,0.1158,,,,
32,,,,,,,,,,,0.0200,,,,
32.2,,,,,,,,,,,0.1257,,,,
33,,,,,,,,,,,0.0029,,,,
33.2,,,,,,,,,,,0.0543,,,,
34.2,,,,,,,,,,,0.0057,,,,
35.2,,,,,,,,,,,0.0014,,,,
36,,,,,,,,,,,0.0014,,,,
