Allele,D8S1179,D21S11,D7S820,CSF1PO,D3S1358,TH01,D13S317,D16S539,D2S1338,D19S433,vWA,TPOX,D18S51,D5S818,FGA
4,,,,,,0.4,,,,,,,,,
6,,,,,,33.7,,,,,,0.7,,,
7,,,0.4,0.4,,35.6,,,,,,1.1,,7.0,
8,0.7,,8.9,0.4,,5.9,7.4,1.1,,,,50.7,,1.1,
9,1.1,,5.9,1.1,,7.8,26.3,8.5,,,,3.7,,4.4,
9.3,,,,,,15.9,,,,,,,,,
10,10.8,,26.7,28.1,,0.7,15.6,21.9,,,,5.9,,8.9,
11,4.4,,30,28.9,,,21.5,25.9,,1.1,,26.7,1.5,44.4,
12,15.9,,22.6,35.9,,,18.5,30,,5.2,,11.1,13.0,25.2,
12.2,,,,,,,,,,2.2,,,,,
13,28.5,,4.4,4.1,1.1,,6.3,10.7,,16.3,0.7,,12.6,7.4,
13.2,,,,,,,4.4,,,13.3,,,1.1,,
14,21.9,,1.1,1.1,7.1,,,1.9,,25.6,4.4,,17.8,1.1,
14.2,,,,,,,,,,5.9,,,,,
15,14.1,,,,45.9,,,,,10.7,7.8,,17.0,,
15.2,,,,,,,,,,11.1,,,,,
16,2.6,,,,28.1,,,,1.9,4.4,33.2,,10.7,0.4,
16.2,,,,,,,,,,3.7,,,,,
17,,,,,12.2,,,,15.6,,25.2,,13.7,,
17.2,,,,,,,,,,0.4,,,,,
18,,,,,5.2,,,,5.9,,20.7,,5.2,,0.7
19,,,,,0.4,,,,19.6,,6.7,,3.3,,8.1
20,,,,,,,,,12.6,,1.1,,2.2,,6.7
21,,,,,,,,,3.3,,,,,,11.9
22,,,,,,,,,9.3,,,,0.4,,15.2
23,,,,,,,,,23.3,,,,0.7,,14.1
24,,,,,,,,,6.3,,,,,,17.4
24.2,,1.1,,,,,,,,,,,,,
25,,,,,,,,,1.9,,,,,,15.2
26,,0.4,,,,,,,0.4,,,,0.7,,7.0
27,,1.1,,,,,,,,,,,,,3.0
28,,7.4,,,,,,,,,,,,,
29,,20.4,,,,,,,,,,,,,0.4
30,,28.5,,,,,,,,,,,,,
30.2,,0.4,,,,,,,,,,,,,
31,,5.6,,,,,,,,,,,,,
31.2,,15.2,,,,,,,,,,,,,
32,,1.5,,,,,,,,,,,,,0.4
32.2,,13.6,,,,,,,,,,,,,
33.2,,3.7,,,,,,,,,,,,,
34.2,,0.7,,,,,,,,,,,,,
36,,0.4,,,,,,,,,,,,,
